"","First.Name","Last.Name","Team","Position","Height.inches.","Weight.pounds.","Age","BMI"
"1","Jeff","Mathis","ANA","Catcher",72,180,23.92,2.5
"2","Mike","Napoli","ANA","Catcher",72,205,25.33,2.84722222222222
"3","Jose","Molina","ANA","Catcher",74,220,31.74,2.97297297297297
"4","Howie","Kendrick","ANA","First Baseman",70,180,23.64,2.57142857142857
"5","Kendry","Morales","ANA","First Baseman",73,220,23.7,3.01369863013699
"6","Casey","Kotchman","ANA","First Baseman",75,210,24.02,2.8
"7","Robb","Quinlan","ANA","First Baseman",73,200,29.95,2.73972602739726
"8","Shea","Hillenbrand","ANA","First Baseman",73,211,31.59,2.89041095890411
"9","Terry","Evans","ANA","Outfielder",75,200,25.11,2.66666666666667
"10","Reggie","Willits","ANA","Outfielder",71,185,25.75,2.6056338028169
"11","Tommy","Murphy","ANA","Outfielder",72,185,27.51,2.56944444444444
"12","Juan","Rivera","ANA","Outfielder",74,205,28.66,2.77027027027027
"13","Chone","Figgins","ANA","Outfielder",68,160,29.1,2.35294117647059
"14","Vladimir","Guerrero","ANA","Outfielder",75,220,31.06,2.93333333333333
"15","Gary","Matthews","ANA","Outfielder",75,225,32.51,3
"16","Garret","Anderson","ANA","Outfielder",75,225,34.67,3
"17","Chris","Resop","ANA","Relief Pitcher",75,222,24.32,2.96
"18","Francisco","Rodriguez","ANA","Relief Pitcher",72,185,25.14,2.56944444444444
"19","Phil","Seibel","ANA","Relief Pitcher",73,195,28.09,2.67123287671233
"20","Greg","Jones","ANA","Relief Pitcher",74,195,30.29,2.63513513513514
"21","Scot","Shields","ANA","Relief Pitcher",73,170,31.61,2.32876712328767
"22","Justin","Speier","ANA","Relief Pitcher",76,205,33.31,2.69736842105263
"23","Darren","Oliver","ANA","Relief Pitcher",74,220,36.4,2.97297297297297
"24","Hector","Carrasco","ANA","Relief Pitcher",74,220,37.36,2.97297297297297
"25","Erick","Aybar","ANA","Shortstop",70,170,23.13,2.42857142857143
"26","Orlando","Cabrera","ANA","Shortstop",70,190,32.33,2.71428571428571
"27","Ervin","Santana","ANA","Starting Pitcher",74,160,24.14,2.16216216216216
"28","Jered","Weaver","ANA","Starting Pitcher",79,205,24.41,2.59493670886076
"29","Joe","Saunders","ANA","Starting Pitcher",74,200,25.71,2.7027027027027
"30","John","Lackey","ANA","Starting Pitcher",78,235,28.35,3.01282051282051
"31","Kelvim","Escobar","ANA","Starting Pitcher",73,210,30.89,2.87671232876712
"32","Bartolo","Colon","ANA","Starting Pitcher",71,250,33.77,3.52112676056338
"33","Dustin","Moseley","ANA","Starting Pitcher",76,190,37.74,2.5
"34","Maicer","Izturis","ANA","Third Baseman",68,155,26.46,2.27941176470588
"35","Dallas","McPherson","ANA","Third Baseman",76,230,26.6,3.02631578947368
"36","Miguel","Montero","ARZ","Catcher",71,197,23.64,2.77464788732394
"37","Chris","Snyder","ARZ","Catcher",75,220,26.05,2.93333333333333
"38","Conor","Jackson","ARZ","First Baseman",74,225,24.82,3.04054054054054
"39","Robby","Hammock","ARZ","First Baseman",70,187,29.8,2.67142857142857
